"","rt","story","blocknum","name","gender","trialnum","qnum","time","qtype","response","workerid","language","languageFree","age","ethnicity","education","studyQuestionGuess","comments","minutes"
"1",9491,"cooking",0,"Hannah","male",1,0,71891,"probability","0.8",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"2",9491,"cooking",0,"Hannah","male",1,0,71891,"ungrammatical",NA,1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"3",9836,"cooking",0,"Rebecca","male",2,1,81729,"explanation","she didn't put effort into it",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"4",3181,"cooking",0,"Rebecca","male",3,2,84916,"probability","0.65",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"5",3181,"cooking",0,"Rebecca","male",3,2,84916,"ungrammatical",NA,1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"6",20315,"cooking",0,"Dylan","male",4,3,105235,"probability","0.45",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"7",20315,"cooking",0,"Dylan","male",4,3,105235,"ungrammatical","FALSE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"8",16225,"cooking",0,"Angela","male",5,4,121465,"probability","0.75",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"9",16225,"cooking",0,"Angela","male",5,4,121465,"ungrammatical","TRUE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"10",6866,"cooking",0,"Savannah","male",6,5,128334,"probability","0.35",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"11",6866,"cooking",0,"Savannah","male",6,5,128334,"ungrammatical","FALSE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"12",10681,"guitar",1,"Will","male",8,0,139018,"probability","0.83",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"13",10681,"guitar",1,"Will","male",8,0,139018,"ungrammatical",NA,1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"14",9901,"guitar",1,"Tiffany","male",9,1,148921,"explanation","she liked covering other peoples' songs",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"15",2695,"guitar",1,"Tiffany","male",10,2,151622,"probability","0.68",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"16",2695,"guitar",1,"Tiffany","male",10,2,151622,"ungrammatical",NA,1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"17",130743,"guitar",1,"Olivia","male",11,3,282368,"probability","0.8",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"18",130743,"guitar",1,"Olivia","male",11,3,282368,"ungrammatical","FALSE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"19",5961,"guitar",1,"Erica","male",12,4,288332,"probability","0.8",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"20",5961,"guitar",1,"Erica","male",12,4,288332,"ungrammatical","FALSE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"21",3791,"guitar",1,"Lindsey","male",13,5,292127,"probability","0.82",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"22",3791,"guitar",1,"Lindsey","male",13,5,292127,"ungrammatical","FALSE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"23",8057,"Japan",2,"Erin","male",15,0,300188,"probability","0.84",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"24",8057,"Japan",2,"Erin","male",15,0,300188,"ungrammatical",NA,1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"25",11892,"Japan",2,"Emily","male",16,1,312081,"explanation","she slept the whole trip",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"26",6149,"Japan",2,"Emily","male",17,2,318240,"probability","0.58",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"27",6149,"Japan",2,"Emily","male",17,2,318240,"ungrammatical",NA,1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"28",4557,"Japan",2,"Mark","male",18,3,322799,"probability","0.76",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"29",4557,"Japan",2,"Mark","male",18,3,322799,"ungrammatical","FALSE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"30",4057,"Japan",2,"Devin","male",19,4,326858,"probability","0.88",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"31",4057,"Japan",2,"Devin","male",19,4,326858,"ungrammatical","FALSE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"32",3688,"Japan",2,"Nicholas","male",20,5,330549,"probability","0.58",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"33",3688,"Japan",2,"Nicholas","male",20,5,330549,"ungrammatical","FALSE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"34",5354,"painting",3,"Matthew","male",22,0,335907,"probability","0.63",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"35",5354,"painting",3,"Matthew","male",22,0,335907,"ungrammatical",NA,1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"36",9630,"painting",3,"Logan","male",23,1,345539,"explanation","he did not pay attention in class",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"37",6210,"painting",3,"Logan","male",24,2,351751,"probability","0.64",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"38",6210,"painting",3,"Logan","male",24,2,351751,"ungrammatical",NA,1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"39",4040,"painting",3,"Alyssa","male",25,3,355795,"probability","0.65",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"40",4040,"painting",3,"Alyssa","male",25,3,355795,"ungrammatical","FALSE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"41",9189,"painting",3,"Christian","male",26,4,364987,"probability","0.68",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"42",9189,"painting",3,"Christian","male",26,4,364987,"ungrammatical","TRUE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"43",4718,"painting",3,"Juan","male",27,5,369707,"probability","0.75",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"44",4718,"painting",3,"Juan","male",27,5,369707,"ungrammatical","FALSE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"45",6968,"beach",4,"Victoria","male",29,0,376678,"probability","0.74",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"46",6968,"beach",4,"Victoria","male",29,0,376678,"ungrammatical",NA,1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"47",6986,"beach",4,"Vanessa","male",30,1,383665,"explanation","she put on sunblock",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"48",72049,"beach",4,"Vanessa","male",31,2,455717,"probability","0.7",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"49",72049,"beach",4,"Vanessa","male",31,2,455717,"ungrammatical",NA,1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"50",5054,"beach",4,"Jennifer","male",32,3,460776,"probability","0.71",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"51",5054,"beach",4,"Jennifer","male",32,3,460776,"ungrammatical","FALSE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"52",3587,"beach",4,"Gabriel","male",33,4,464365,"probability","0.77",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"53",3587,"beach",4,"Gabriel","male",33,4,464365,"ungrammatical","FALSE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"54",2673,"beach",4,"Caleb","male",34,5,467041,"probability","0.76",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"55",2673,"beach",4,"Caleb","male",34,5,467041,"ungrammatical","FALSE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"56",6593,"insomnia",5,"Kim","male",36,0,473637,"probability","0.66",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
